state,headline,commentID,inReplyTo,toxic,severe_toxic,obscene,threat,insult,identity_hate,lat,lon,article,multimedia,printPage,articleWordCount
Alabama,5G Cell Service Is Coming. Critics Fear the Stations Will Look Like ‘a Medusa.’,26215547.0,0.0,0.020574976000000002,3.5e-05,0.001128689,0.00021382,0.001868946,4.96e-05,,,,1.0,3.0,1340.0
Alabama,A Big Hollywood Night in a #MeToo Moment,26209022.0,0.0,0.0013027895,2.19e-05,0.00017042,3.1599999999999996e-05,0.0001621135,5.49e-05,,,,1.0,1.0,2375.0
Alabama,"A Gang’s Fearsome Reputation,  Further Inflated by the President",26173518.0,0.0,0.00014180899999999998,7.92e-06,3.41e-05,9.24e-06,3.68e-05,2.7399999999999995e-05,,,,1.0,1.0,1506.0
Alabama,A Trump Fawners Almanac,26193961.0,0.0,0.060885130999999995,8.609999999999999e-05,0.00134751,9.42e-05,0.006556613,0.000530495,,,,1.0,19.0,854.0
Alabama,A Whole Lot Is Riding On This New ‘Wrinkle’,26176362.0,0.0,0.00043084300000000004,1.3500000000000001e-05,0.00012090000000000001,8.53e-06,7.25e-05,3.71e-05,,,,1.0,14.0,2102.0
Alabama,An ‘Annie Hall’ Reboot for the Ages,26190959.0,0.0,0.000341424,8.24e-06,9.83e-05,1.12e-05,3.81e-05,8.73e-06,,,,1.0,1.0,2682.0
Alabama,"At Graham’s Funeral, Warm Memories and a Little Evangelism",26184418.0,0.0,0.001041597,2.98e-05,0.000253815,8.209999999999999e-05,0.00014288299999999998,0.00032203,,,,1.0,13.0,1184.0
Alabama,"At Heart of Tight Race, Folks Who Picked Trump But Wish They Hadn’t",26180944.0,0.0,0.063461743,0.00039308,0.006704065,0.00010333,0.001312701,0.00076178,,,,1.0,14.0,1643.0
Alabama,Can There Be Good Porn?,26212220.0,0.0,0.051079012,9.549999999999999e-05,0.003687893,4.1e-05,0.0076748569999999985,0.000951907,,,,1.0,27.0,991.0
Alabama,"Go Ahead, Millennials, Destroy Us",26184222.0,0.0,0.004668178,2.7699999999999996e-05,0.000383256,0.000106758,0.000873313,0.000351919,,,,1.0,19.0,1064.0
Alabama,Hooray for Harvey-less Hollywood!,26202870.0,0.0,0.011407558,0.00022093599999999997,0.0022668000000000002,0.000147932,0.002212249,0.0022791779999999998,,,,1.0,3.0,1066.0
Alabama,"Hugs, Smiles And a Pistol At the Ready",26215667.0,0.0,0.031237877999999997,0.000290269,0.006423076,0.00017821,0.005910983000000001,0.000691764,,,,1.0,1.0,1782.0
Alabama,"In a New York Minute, Hire for Schools Opts Out",26173484.0,0.0,0.008662617,0.000116326,0.000645836,0.000288018,0.00040077900000000003,3.2200000000000003e-05,,,,1.0,1.0,1777.0
Alabama,Intrigue in the House of Trump,26182019.0,0.0,0.06497726599999999,0.000154996,0.011910938999999999,8.109999999999999e-05,0.00745041,0.000421969,,,,1.0,22.0,1383.0
Alabama,Ivanka Trump’s Brand Building,26185097.0,0.0,0.029794014,0.000178386,0.0165338475,0.0003030755,0.0047412,0.0009373185000000001,,,,1.0,26.0,1267.0
Alabama,Learning to drive at 62,26192223.0,0.0,0.006416376999999999,0.000607737,0.007979165,0.000292499,0.001713063,0.000317312,,,,1.0,0.0,864.0
Alabama,Lower the Voting Age to 16,26191759.5,0.0,0.0007134714999999999,4.1595e-05,0.00026083400000000004,9.39e-05,0.0001598965,5.050000000000001e-05,,,,1.0,6.0,788.0
Alabama,Mr. Trump and the ‘Very Bad Judge’,26165158.0,0.0,0.344804943,0.0006250240000000001,0.016622138999999998,0.000390463,0.071432509,0.003336381,,,,1.0,26.0,1043.0
Alabama,N.R.A. Says Trump May Retreat on Gun Control,26179418.0,0.0,0.050653866,0.00023554066666666668,0.004610274,0.000185168,0.008200496333333335,0.0011150436666666666,,,,1.0,13.0,1217.0
Alabama,Nakesha’s Demons,26194825.5,0.0,0.12462514899999999,0.000243683,0.002585724,0.00053823625,0.01182946125,0.006295324749999999,,,,1.0,1.0,7000.0
Alabama,Plan for Tariffs Creates Divide In Trump Base,26198227.0,0.0,0.006839161,6.8845e-05,0.0011341575,9.29635e-05,0.0016218155,0.0005208205,,,,1.0,1.0,1287.0
Alabama,Power to the Parents,26201721.0,0.0,0.00264416,5.17e-05,0.00047209300000000004,2.7899999999999997e-05,0.000451481,9.22e-05,,,,1.0,9.0,827.0
Alabama,Senate Intelligence Panel Says House G.O.P. Leaked a Senator’s Texts,26176195.0,0.0,0.003963220999999999,4.46e-05,0.00026431,8.88e-05,0.00036054800000000003,0.000316094,,,,1.0,16.0,1268.0
Alabama,Silicon Valley Toured the Heartland and Fell in Love,26226084.0,0.0,0.001058597,1.4600000000000003e-05,0.000118618,3.005e-05,0.00025949649999999996,6.419999999999999e-05,,,,1.0,1.0,1418.0
Alabama,State Dept. Holds Funds Aimed to Fight Meddling,26204504.0,0.0,0.013597838999999999,6.829999999999999e-05,0.0015803360000000001,7.41e-05,0.000829723,8.149999999999999e-05,,,,1.0,8.0,1240.0
Alabama,"Taxpayers, You’ve Been Scammed",26189054.0,0.0,0.000143355,9.08e-06,8.36e-05,1.21e-05,2.49e-05,2.36e-05,,,,1.0,23.0,903.0
Alabama,The Macroeconomics of Trade War,26201477.0,0.0,0.000456961,1.7e-05,0.000256095,1.4999999999999999e-05,9.590000000000001e-05,8.31e-05,,,,1.0,0.0,478.0
Alabama,The Supreme Court’s Power Play Against Labor,26168564.0,0.0,0.000474433,2.2899999999999998e-05,0.000140777,9.24e-06,0.000176732,0.00017051599999999998,,,,1.0,0.0,1480.0
Alabama,The Tet Offensive Was Not About Americans,26175230.0,0.0,0.000470867,1.82e-05,0.00042916,2.0399999999999998e-05,9.73e-05,0.000155315,,,,1.0,0.0,1264.0
Alabama,The Trump-Russia Story Gets Even Weirder,26179088.0,0.0,0.032172825,0.00031489,0.004897167,2.65e-05,0.004342684,0.001249888,,,,1.0,0.0,1083.0
Alabama,"Trump Proclaims Tariffs On Steel and Aluminum, And Stocks Sag in Reply",26173238.0,0.0,0.008689791,5.9499999999999996e-05,0.00061405,1.85e-05,0.001056345,0.001498669,,,,1.0,1.0,1556.0
Alabama,Trump: King of Chaos,26212369.333333332,0.0,0.08714037466666665,0.0004378166666666667,0.004135069666666667,0.00042239733333333335,0.02044544733333333,0.0017609253333333331,,,,1.0,27.0,836.0
Alabama,Trump’s Call to Arm Teachers Resonates at Schools That Do,26176277.0,0.0,0.0031186509999999996,3.6700000000000004e-05,0.000767436,4.99e-05,0.00024248799999999999,0.000140021,,,,1.0,1.0,1711.0
Alabama,U.S. Advances Military Plans for North Korea,26170141.0,0.0,0.001926829,2.6899999999999997e-05,0.000381582,3.76e-05,0.000310033,0.000333111,,,,1.0,11.0,1215.0
Alabama,Unknown,26191014.0,0.0,0.000237665,7.55e-06,4.93e-05,1.4800000000000002e-05,3.950000000000001e-05,9.02e-06,,,,1.0,0.0,379.0
Alabama,When Elder Abuse Is Self-Inflicted,26197811.0,0.0,0.00729331,2.485e-05,0.001020692,3.5000000000000004e-05,0.0006944309999999999,0.0001107665,,,,1.0,5.0,1242.0
Alabama,Wily Trump Aide Nurtures Her Access and Influence,26215547.0,0.0,0.0007407085,1.401e-05,0.00019269800000000002,1.3415000000000001e-05,8.628600000000001e-05,1.95e-05,,,,1.0,11.0,1280.0
Alaska,"At Heart of Tight Race, Folks Who Picked Trump But Wish They Hadn’t",26188915.5,0.0,0.2390647585,0.0006024860000000001,0.018737977000000003,0.0003012205,0.075983183,0.0009373385,,,,1.0,14.0,1643.0
Alaska,"Go Ahead, Millennials, Destroy Us",26187895.0,0.0,0.013183678999999998,0.000131867,0.000931983,6.65e-05,0.001486216,0.0006405380000000001,,,,1.0,19.0,1064.0
Alaska,How the Tet Offensive Broke America,26198963.0,0.0,0.795286238,0.009192496,0.21980591100000002,0.001741846,0.273006648,0.012662508000000001,,,,1.0,0.0,929.0
Alaska,Ivanka Trump’s Brand Building,26188295.0,0.0,0.001702867,1.15e-05,0.00021646099999999999,2.79e-06,0.000357067,4.96e-05,,,,1.0,26.0,1267.0
Alaska,Make Better Movies Too,26200888.0,0.0,0.006335515999999999,6.95e-05,0.0008090660000000001,5.01e-05,0.001229178,0.000474542,,,,1.0,1.0,1078.0
Alaska,Mr. Trump’s Problem With Democracy,26204947.0,0.0,0.0074046830000000004,0.000203159,0.002014176,0.00023708599999999999,0.0007650210000000001,5.6899999999999994e-05,,,,1.0,26.0,807.0
